state,month,total_trx,total_amount,n_users
MI,2022-11,130794,104937749.2,14834
MO,2022-11,102760,72068786.05,10356
NL,2022-11,785844,456459092,59594
OA,2022-11,92044,70427742.23,9907
PU,2022-11,363845,262055772.5,37904
QR,2022-11,167792,119944217.2,14746
QT,2022-11,144387,95763004.36,12147
SI,2022-11,177035,122905799.5,17785
SL,2022-11,164906,112124443.8,15833
SO,2022-11,294680,167049131.5,24500
TB,2022-11,136851,88702572.42,12735
TL,2022-11,67314,52343382.31,8023
TM,2022-11,367816,224067730.3,32456
VE,2022-11,481694,320266369.5,46662
YU,2022-11,210283,135448869.7,18342
ZA,2022-11,55966,42723773.87,6183
AG,2022-12,107411,76683062.14,5899
BC,2022-12,482245,324133458.5,26183
BS,2022-12,77947,52261771.97,3656
CH,2022-12,289745,191711885.9,15528
CL,2022-12,79573,59180084.89,4600
CM,2022-12,60636,38813947.07,3211
CO,2022-12,311958,201702900.3,15252
CS,2022-12,238201,195575222.9,16135
DF,2022-12,517334,360628413.7,28263
DG,2022-12,147646,107403952.2,8744
EM,2022-12,807397,579578763,45994
GR,2022-12,164573,127265928.4,11368
GT,2022-12,249462,195381368.9,15231
HG,2022-12,140266,107907330.8,8771
JA,2022-12,488449,373777138.9,29454
MI,2022-12,143642,119096031.2,10107
MO,2022-12,114229,82243051.11,7012
NL,2022-12,843195,525276869.5,37496
OA,2022-12,99808,79725127.42,6812
PU,2022-12,400231,302327722.3,25336
QR,2022-12,186093,140127981.6,9738
QT,2022-12,158346,110789774.5,8084
SI,2022-12,196721,145718360,11998
SL,2022-12,180815,133217288.2,10663
SO,2022-12,324983,200092771.7,16324
TB,2022-12,156303,108004038.5,8506
TL,2022-12,73917,58954402.55,5576
TM,2022-12,406471,266973660.6,21627
VE,2022-12,539935,377990354.7,31459
YU,2022-12,230790,157912980.5,11859
ZA,2022-12,59676,49277470.74,4207
AG,2023-01,112265,75152436.56,6161
BC,2023-01,512355,324216215.4,27646
BS,2023-01,80895,50913382.77,3782
CH,2023-01,304431,188221383.3,16149
CL,2023-01,83261,59680182.87,4785
CM,2023-01,60424,35879977.14,3231
CO,2023-01,319348,191027232.9,15876
CS,2023-01,235888,184446376,16284
DF,2023-01,537783,355965691.9,29550
DG,2023-01,154926,103095658,9028
EM,2023-01,837169,576224863.5,47992
GR,2023-01,166340,122165091.9,11509
GT,2023-01,259820,194862203.3,16071
HG,2023-01,145507,106448027.1,9043
JA,2023-01,506759,371156797,30423
MI,2023-01,147726,119743417,10462
MO,2023-01,118352,83725784.48,7324
NL,2023-01,858192,503606746.8,38740
OA,2023-01,102088,79926560.45,6927
PU,2023-01,408766,302194020.3,26005
QR,2023-01,188774,137570636.5,10073
QT,2023-01,162627,109237070.2,8393
SI,2023-01,196904,136341048.5,12072
SL,2023-01,183909,127621955.4,11001
SO,2023-01,333171,188419133.4,16983
TB,2023-01,152202,99186352.38,8591
TL,2023-01,75339,59051321.26,5692
TM,2023-01,418859,260620747.9,22332
VE,2023-01,550115,366028523.2,32064
YU,2023-01,232149,149616317.4,12074
ZA,2023-01,60752,47989452.13,4314
AG,2023-02,111683,75601077.24,6394
BC,2023-02,515712,325546775.2,28729
BS,2023-02,80163,49715944.74,3914
CH,2023-02,307239,185893066.5,16675
CL,2023-02,83658,57447366.25,4923
CM,2023-02,61447,36627968.92,3296
CO,2023-02,325872,193471023.4,16362
CS,2023-02,235047,182267745.2,16680
DF,2023-02,552048,359789325.5,30706
DG,2023-02,154869,103554807.2,9285
EM,2023-02,846654,575522949.6,49595
GR,2023-02,165753,121393713.6,11777
GT,2023-02,265681,196747402,16646
HG,2023-02,145955,107084512.9,9365
JA,2023-02,508767,371437262.7,31284
MI,2023-02,148854,118373843.9,10709
MO,2023-02,119628,83417386.37,7616
NL,2023-02,873428,508302747.3,39898
OA,2023-02,102076,79267572.8,7136
PU,2023-02,409313,297118865,26786
QR,2023-02,191122,135629952.1,10284
QT,2023-02,168542,111668996,8717
SI,2023-02,193967,133322240.9,12320
SL,2023-02,188209,130163598.3,11423
SO,2023-02,343293,189366370.9,17430
TB,2023-02,154604,98895555.24,8738
TL,2023-02,75294,57993440.56,5844
TM,2023-02,424912,259571041.1,22999
VE,2023-02,554156,361285239,33050
YU,2023-02,229154,147575355.9,12398
ZA,2023-02,61433,46724501.81,4479
AG,2023-03,146040,97867929.37,12168
BC,2023-03,666254,421355633,53694
BS,2023-03,102837,62378124.73,7131
CH,2023-03,385851,236286254.8,30814
CL,2023-03,106385,74346630.03,9251
CM,2023-03,80518,48052538.74,6419
CO,2023-03,416951,248266458.8,31851
CS,2023-03,319121,245197594.4,32908
DF,2023-03,709987,467718012.3,58117
DG,2023-03,201120,133689711.3,17861
EM,2023-03,1105218,754989110.2,95065
GR,2023-03,220443,159720753.4,22962
GT,2023-03,344367,252500694.6,31453
HG,2023-03,192027,141016358.5,17912
JA,2023-03,648009,472526392.2,58609
MI,2023-03,194685,153531765.4,20375
MO,2023-03,157389,108726918.9,14609
NL,2023-03,1117597,650012611.9,76983
OA,2023-03,135117,103314837,13680
PU,2023-03,538641,388629450,51633
QR,2023-03,243472,174212181.5,19578
QT,2023-03,214374,142814963.6,16384
SI,2023-03,252417,170787212.6,23486
SL,2023-03,245588,171125723.8,21569
SO,2023-03,439205,244941397,33130
TB,2023-03,199159,129257358.8,17039
TL,2023-03,101253,77414330.92,11360
TM,2023-03,549157,339180971,44391
VE,2023-03,729789,478345346.5,64318
YU,2023-03,298430,193638370.7,23841
ZA,2023-03,80518,60194284.07,8475
AG,2023-04,136250,93800764.46,6996
BC,2023-04,651383,422060728.1,32699
BS,2023-04,97877,61908322.97,4261
CH,2023-04,371516,234587121.6,18577
CL,2023-04,99854,71414901.5,5305
CM,2023-04,74094,45376843.31,3591
CO,2023-04,402687,248098616.3,18569
CS,2023-04,281913,220396030.5,17981
DF,2023-04,665777,453693989.2,33489
DG,2023-04,183473,124720533.6,10070
EM,2023-04,1032528,724246207.5,54734
GR,2023-04,192621,143251615.3,12670
GT,2023-04,324034,242796343.6,18356
HG,2023-04,176977,135629373.2,10326
JA,2023-04,609609,459032434.8,34037
MI,2023-04,178375,142577485.7,12030
MO,2023-04,146474,103649505.2,8367
NL,2023-04,1093649,649954036.2,44555
OA,2023-04,119583,93417677.97,7756
PU,2023-04,489392,358090581.6,28831
QR,2023-04,227773,167712428.7,11135
QT,2023-04,203909,141473546.1,9527
SI,2023-04,233829,161222345,13477
SL,2023-04,225299,159977189.6,12487
SO,2023-04,417000,238382712.6,19101
TB,2023-04,183447,120705758.8,9470
TL,2023-04,89904,69303990.67,6398
TM,2023-04,527589,331012461.2,25627
VE,2023-04,672343,450797696.4,36168
YU,2023-04,272846,181351307.4,13282
ZA,2023-04,73926,58501939.06,4897
AG,2023-05,143911,100753005.9,7018
BC,2023-05,702913,453918040.5,33225
BS,2023-05,105982,67299636.52,4316
CH,2023-05,405831,258221779.5,18930
CL,2023-05,106536,75886404.83,5342
CM,2023-05,77106,49017220.02,3586
CO,2023-05,437445,267584768.5,18771
CS,2023-05,294128,228885799.1,17936
DF,2023-05,712444,493667772.8,33706
DG,2023-05,195399,132217028.9,10205
EM,2023-05,1114022,782063658,55422
GR,2023-05,198393,148248552.3,12660
GT,2023-05,349011,262412305,18653
HG,2023-05,186637,141605816.1,10324
JA,2023-05,650980,486741904.5,34299
MI,2023-05,191553,154896179.4,12208
MO,2023-05,153861,110486667.6,8400
NL,2023-05,1176992,704496744.7,45329
OA,2023-05,130408,100550099.6,7687
PU,2023-05,511848,374640895.5,28988
QR,2023-05,237646,175040434.8,11086
QT,2023-05,222764,154367615.4,9706
SI,2023-05,248505,172148076.7,13589
SL,2023-05,242070,171855547.6,12774
SO,2023-05,442544,256209296.6,19049
TB,2023-05,191088,126645783.6,9363
TL,2023-05,93364,72390894.31,6341
TM,2023-05,564738,352855716.1,26306
VE,2023-05,700550,471387229.5,36090
YU,2023-05,279043,186851649.8,13224
ZA,2023-05,77772,62427555.82,4900
AG,2023-06,139876,97861605.46,6934
BC,2023-06,685280,438355685,32782
BS,2023-06,102238,64006549.85,4263
CH,2023-06,386240,243257255.1,18411
CL,2023-06,102203,72706305.79,5315
CM,2023-06,73873,46263779.49,3466
CO,2023-06,419541,255818195.3,18403
CS,2023-06,281480,216702168.1,17322
DF,2023-06,689694,474434586.8,33081
DG,2023-06,185749,123685115.2,9837
EM,2023-06,1079376,753372117.7,53955
GR,2023-06,190073,140468407.1,12286
GT,2023-06,330402,250043016.7,18195
HG,2023-06,181371,136513758,10109
JA,2023-06,618903,458625753.6,33383
MI,2023-06,182647,148042878.6,11846
MO,2023-06,152388,107170597.3,8258
NL,2023-06,1132032,681159151,44317
OA,2023-06,125272,93076672.5,7389
PU,2023-06,486345,351922236.6,28374
QR,2023-06,228340,165366997.8,10846
QT,2023-06,214785,146710866.6,9557
SI,2023-06,238265,166226786.7,13226
SL,2023-06,232880,166662310.9,12450
SO,2023-06,423175,239579867.5,18379
TB,2023-06,179654,118873038.5,8915
TL,2023-06,88153,66537757.54,6208
TM,2023-06,545484,338853405.8,25870
VE,2023-06,664836,439089766.1,34915
YU,2023-06,266543,176691846,12893
ZA,2023-06,72833,58355878.25,4766
